url,label
http://secure-login.bit.ly/update-info,1
http://paypal.verify-account.com/login,1
http://amazon.accountverify.net/update,1
https://www.amazon.in/gp/help/customer/display.html,0
https://www.google.com/search?q=python,0
https://www.microsoft.com/en-us/,0
http://confirm.verify.com/update,1
https://microsoft.co/products,0
http://38.35.191.237/login.php?user=admin,1
https://apple.in/account,0
http://39.122.190.244/login.php?user=admin,1
https://github.com/login,0
http://online-verification-auth.ru/login?session=170081&redirect=/home,1
http://paypal-secure.verify.info/confirm?session=932847&redirect=/home,1
https://example.in/search?q=test,0
http://banking-auth.online/confirm,1
http://4.137.63.236/login.php?user=admin,1
https://linkedin.org/home,0
https://mybank.com/home,0
http://verify-account.user.online/confirm?session=329423&redirect=/home,1
https://amazon.net/profile,0
http://login-secure.secure.online/signin,1
http://login-secure.verify.xyz/signin?session=999922&redirect=/home,1
http://account-update.secure.info/confirm?session=301716&redirect=/home,1
http://verify-account-auth.xyz/confirm,1
http://online-verification.secure.com/signin?session=812142&redirect=/home,1
http://banking-auth.online/login?session=788722&redirect=/home,1
https://openbank.in/products,0
http://account-update-auth.com/signin,1
http://login-secure.verify.xyz/confirm?session=513062&redirect=/home,1
http://secure-login-auth.xyz/confirm?session=145482&redirect=/home,1
http://confirm-auth.online/login,1
http://verify-account-auth.com/verify,1
http://account-update.user.com/verify,1
https://github.org/docs,0
https://google.in/login,0
http://paypal-secure.user.ru/signin,1
https://mybank.co/search?q=test,0
http://paypal-secure-auth.info/confirm?session=790940&redirect=/home,1
https://openbank.com/products,0
http://40.52.65.116/login.php?user=admin,1
http://paypal-secure-auth.info/verify?session=407834&redirect=/home,1
https://linkedin.com/docs,0
https://microsoft.org/search?q=test,0
https://apple.org/login,0
https://linkedin.org/docs,0
https://example.in/home,0
https://mybank.org,0
https://amazon.net/account,0
https://trusted-shop.com/docs,0
http://login-secure-auth.com/login?session=465969&redirect=/home,1
http://banking.verify.info/update,1
https://github.in/search?q=test,0
https://github.org/search?q=test,0
http://secure-login.secure.ru/verify?session=180836&redirect=/home,1
http://verify-account-auth.online/confirm,1
http://confirm-auth.info/login?session=624553&redirect=/home,1
https://linkedin.in/search?q=test,0
http://paypal-secure.user.ru/confirm,1
http://banking.user.com/update?session=787929&redirect=/home,1
http://secure-login.verify.ru/login,1
http://login-secure-auth.com/signin,1
http://online-verification.verify.xyz/signin,1
https://linkedin.com/products,0
http://confirm-auth.info/signin,1
http://verify-account-auth.ru/update?session=983411&redirect=/home,1
https://github.net/login,0
https://mybank.in/docs,0
https://github.in,0
https://amazon.in/account,0
http://banking-auth.ru/login,1
https://amazon.co,0
http://41.219.156.243/login.php?user=admin,1
http://banking.secure.xyz/confirm,1
https://example.com/login,0
https://wikipedia.net/profile,0
https://openbank.net/account,0
http://verify-account-auth.xyz/signin?session=347756&redirect=/home,1
http://login-secure.secure.ru/confirm,1
https://trusted-shop.net/search?q=test,0
https://trusted-shop.net/products,0
http://secure-login-auth.xyz/update,1
https://example.co/profile,0
https://apple.net/login,0
http://confirm.verify.com/verify?session=226745&redirect=/home,1
http://42.93.159.145/login.php?user=admin,1
http://verify-account.user.ru/confirm?session=157892&redirect=/home,1
https://mybank.com/account,0
http://secure-login-auth.xyz/update?session=163873&redirect=/home,1
